1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1345,1196
1330,1196
1307,1197
1277,1198
1239,1198
1194,1198
1150,1194
1120,1182
1094,1164
1065,1137
1037,1108
1009,1075
981,1042
956,1013
931,987
910,968
893,953
879,940
867,927
857,914
849,900
841,883
833,862
825,838
816,813
810,787
805,757
803,732
801,706
800,681
799,658
801,636
803,614
809,593
818,571
829,550
840,530
853,509
865,488
877,470
889,454
899,440
910,428
924,416
938,406
957,396
977,388
999,382
1020,377
1039,375
1058,375
1076,376
1093,380
1108,386
1123,392
1139,399
1154,407
1170,417
1185,428
1200,439
1214,451
1228,462
1243,476
1258,489
1274,503
1290,517
1306,531
1323,545
1340,558
1359,572
1377,585
1397,599
1420,613
1441,625
1462,638
1482,650
1504,661
1529,673
1551,681
1575,691
1604,698
1628,702
1652,705
1676,705
1700,704
1724,701
1748,695
1773,685
1797,673
1821,657
1842,639
1861,617
1878,597
1892,576
1906,555
1917,534
1926,513
1934,490
1939,466
1943,440
1944,415
1944,391
1940,369
1935,349
1931,333
1926,317
1920,303
1913,290
1903,278
1892,267
1879,258
1861,250
1844,244
1826,240
1808,236
1792,233
1777,230
1763,229
1751,230
1740,233
1729,236
1717,241
1705,248
1689,256
1673,266
1656,278
1638,293
1619,311
1604,328
1590,344
1577,359
1563,375
1551,389
1536,406
1520,423
1503,442
1484,461
1463,482
1442,502
1420,523
1397,545
1372,567
1346,593
1314,613
1287,632
1261,649
1234,664
1208,680
1181,694
1149,708
1115,720
1080,731
1040,741
1001,749
965,755
933,759
906,762
881,763
856,761
830,755
808,746
787,733
768,717
751,699
737,681
728,660
722,639
720,617
720,594
723,570
728,547
732,530
738,503
745,483
753,464
764,445
777,426
793,407
809,391
825,376
840,365
856,355
871,349
889,344
906,340
924,338
941,337
959,336
977,337
997,339
1017,345
1037,352
1058,361
1077,373
1098,386
1123,405
1140,419
1162,439
1184,460
1208,481
1231,503
1258,528
1282,549
1308,569
1334,590
1357,607
1378,623
1399,638
1418,651
1435,664
1454,677
1474,689
1496,700
1520,710
1546,719
1571,725
1599,729
1625,731
1651,730
1677,727
1703,722
1729,715
1755,704
1783,688
1805,671
1825,651
1841,629
1854,603
1863,577
1869,550
1874,522
1876,497
1876,472
1874,447
1870,422
1863,398
1855,373
1843,349
1829,328
1814,309
1800,294
1786,281
1773,269
1759,259
1744,249
1728,240
1715,235
1703,232
1693,231
1683,231
1673,232
1663,233
1650,235
1640,238
1629,243
1616,249
1602,256
1587,265
1568,276
1549,290
1528,305
1505,324
1482,344
1459,368
1436,394
1413,422
1391,451
1369,481
1346,511
1323,541
1301,569
1276,598
1248,625
1221,651
1192,677
1160,701
1124,721
1087,737
1048,751
1010,762
970,771
932,780
890,788
864,792
833,794
806,792
782,786
762,776
746,762
733,746
723,727
715,706
709,683
705,658
705,630
707,592
711,560
717,528
723,498
731,467
742,437
755,409
770,384
785,362
799,345
812,330
824,317
836,306
848,297
863,288
878,280
893,275
908,273
921,272
935,272
948,275
962,279
975,284
987,292
1000,301
1014,314
1029,330
1045,349
1062,368
1080,389
1100,410
1120,430
1140,451
1159,471
1177,492
1195,512
1214,533
1232,554
1252,574
1274,595
1295,616
1319,634
1345,653
1372,671
1402,687
1435,702
1468,714
1501,723
1535,729
1573,732
1605,730
1637,725
1668,716
1698,702
1727,684
1754,659
1780,628
1807,593
1831,550
1853,505
1871,454
1887,405
1897,359
1903,327
1909,296
1909,268
1906,249
1901,233
1893,217
1880,199
1861,180
1837,162
1813,145
1789,133
1768,127
1749,123
1733,122
1719,123
1706,124
1692,126
1677,127
1661,129
1646,134
1632,140
1617,150
1601,163
1584,178
1566,197
1549,216
1532,240
1516,263
1502,285
1487,311
1477,327
1464,346
1454,362
1444,378
1435,395
1425,414
1413,438
1402,465
1389,496
1375,529
1362,564
1349,600
1338,634
1327,672
1318,705
1310,742
1305,773
1299,808
1293,840
1286,873
1278,904
1268,940
1260,971
1253,1000
1244,1028
1235,1054
1228,1078
1221,1099
1214,1117
1209,1132
1204,1145
1201,1157
1198,1167
1196,1177
1195,1185
1193,1192
1192,1196
1192,1198
1191,1199
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
1191,1200
